femaDeclarationString,disasterNumber,state,declarationType,declarationDate,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,incidentBeginDate,incidentEndDate,disasterCloseoutDate,fipsStateCode,fipsCountyCode,placeCode,designatedArea,declarationRequestNumber,hash,lastRefresh,id,year
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,53,99053,Chattahoochee (County),17110,af0929221c18f883559ac6fb9ba8c9cb,2020-10-05T14:22:33.265Z,5f7b2c2931a8c6681cff8371,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,55,99055,Chattooga (County),17110,51f48b406e9b7b2b7519b4f32be49d17,2020-10-05T14:22:33.265Z,5f7b2c2931a8c6681cff8376,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,57,99057,Cherokee (County),17110,3605a1b01a227fb8ebf073e23183ff81,2020-10-05T14:22:33.266Z,5f7b2c2931a8c6681cff837d,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,47,99047,Catoosa (County),17110,bf3dc07bc1b90df09503a93c6aaa0aba,2020-10-05T14:22:33.264Z,5f7b2c2931a8c6681cff8382,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,59,99059,Clarke (County),17110,4c35d2a2878cece50f68eda9735efcf2,2020-10-05T14:22:33.269Z,5f7b2c2931a8c6681cff8387,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,61,99061,Clay (County),17110,6d78f5160eac99e9052ec81690486eec,2020-10-05T14:22:33.270Z,5f7b2c2931a8c6681cff838d,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,63,99063,Clayton (County),17110,f8dcff7f1566d0924aa76a93a0f7eece,2020-10-05T14:22:33.271Z,5f7b2c2931a8c6681cff8392,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,65,99065,Clinch (County),17110,4a625b0c03a22083ffe62b722c6e3669,2020-10-05T14:22:33.271Z,5f7b2c2931a8c6681cff8395,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,67,99067,Cobb (County),17110,d7a6c8421e71c6ea1955d8431405a491,2020-10-05T14:22:33.273Z,5f7b2c2931a8c6681cff83a0,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,71,99071,Colquitt (County),17110,6d83bc0d763dd3cf8743534e06c226e1,2020-10-05T14:22:33.275Z,5f7b2c2931a8c6681cff83aa,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,73,99073,Columbia (County),17110,0601f248138793e5c7c6cb3168361d76,2020-10-05T14:22:33.275Z,5f7b2c2931a8c6681cff83ad,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,75,99075,Cook (County),17110,4e1a33e6c1acf6384e7add3ac5e5042d,2020-10-05T14:22:33.276Z,5f7b2c2931a8c6681cff83b0,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,77,99077,Coweta (County),17110,08b7d14c5a725cc46e196d550eddd9a2,2020-10-05T14:22:33.277Z,5f7b2c2931a8c6681cff83b7,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,79,99079,Crawford (County),17110,cb894db727f4c8ca8b6dce6f9380090d,2020-10-05T14:22:33.278Z,5f7b2c2931a8c6681cff83be,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,81,99081,Crisp (County),17110,40f7272670a8e6709d175ee2dcd191bd,2020-10-05T14:22:33.279Z,5f7b2c2931a8c6681cff83c3,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,83,99083,Dade (County),17110,77f07f1231acfa0130888ee18ca828b7,2020-10-05T14:22:33.279Z,5f7b2c2931a8c6681cff83c7,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,87,99087,Decatur (County),17110,6841099579926d58aba92e5f4ff62838,2020-10-05T14:22:33.282Z,5f7b2c2931a8c6681cff83d6,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,89,99089,DeKalb (County),17110,2661829c1ba63f650a9c2ce76fc7388b,2020-10-05T14:22:33.283Z,5f7b2c2931a8c6681cff83dc,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,85,99085,Dawson (County),17110,f563d920f6c0dffd2dfbb29dff5c50d7,2020-10-05T14:22:33.281Z,5f7b2c2931a8c6681cff83e1,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,91,99091,Dodge (County),17110,6a4ac85adc158c2a061a4f7c12b858bd,2020-10-05T14:22:33.284Z,5f7b2c2931a8c6681cff83e5,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,93,99093,Dooly (County),17110,6c8d5311a2be8d1e001ab0ff96c969dd,2020-10-05T14:22:33.285Z,5f7b2c2931a8c6681cff83e6,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,95,99095,Dougherty (County),17110,b05cca60a494c1c0e0e768b57d74f897,2020-10-05T14:22:33.286Z,5f7b2c2931a8c6681cff83ea,2017
DR-4338-GA,4338,GA,DR,2017-09-16T00:25:00.000Z,2017,Hurricane,HURRICANE IRMA,0,0,1,1,2017-09-07T13:00:00.000Z,2017-09-21T03:59:00.000Z,,13,97,99097,Douglas (County),17110,d58d30356002676502bcb8922259e770,2020-10-05T14:22:33.286Z,5f7b2c2931a8c6681cff83ed,2017
